amortized_preload_bytes_per_token,array_cols,array_rows,array_shape,batch_size,decode_step,decode_tokens,dram_reads,dram_writes,exp_variant,experiment_id,head_dim,kv_heads,kv_preload_bandwidth_cycles,kv_preload_bytes,kv_resident_bytes,memory_model_applied,memory_stall_cycles,mode,onchip_storage_bytes,pe_utilization,pipeline_depth,precision,query_heads,reuse_kv_across_tokens,sequence_length,softmax_variant,sram_reads,sram_writes,stage_count,stage_final_normalize_cycles,stage_kv_preload_cycles,stage_names,stage_online_softmax_accum_cycles,stage_query_stream_cycles,stage_score_gemm_cycles,stage_softmax_reduce_cycles,stage_value_gemm_cycles,stage_writeback_cycles,stream_groups,total_cycles,total_macs,total_stall_cycles,weighted_pe_utilization
32768.0,8,8,8x8,1,4,4,133120,2048,lookup,22,64,2,16384,131072,131072,True,0,kv_stationary_mqa_decode,98304,0.825,16,int8,8,True,512,online,1218560,1216512,5,2592,16387,kv_preload|query_stream|online_softmax_accum|final_normalize|writeback,1114112,131712,,,,96,32,1264899,2097152,32,0.9999335915357669
0.0,16,16,16x16,1,4,4,102400,34816,lookup,23,64,2,0,0,0,True,0,baseline_mqa_decode,196608,0.765625,0,int8,8,True,512,online,104448,32768,4,,,score_gemm|softmax_reduce|value_gemm|writeback,,,4544,65536,4376,48,0,74504,2097152,0,0.17534629013207345
32768.0,16,16,16x16,1,4,4,133120,2048,lookup,23,64,2,16384,131072,131072,True,0,kv_stationary_mqa_decode,196608,0.8125,20,int8,8,True,512,online,1218560,1216512,5,2720,8195,kv_preload|query_stream|online_softmax_accum|final_normalize|writeback,1114112,131840,,,,48,32,1256915,2097152,32,0.9999641980563523
0.0,32,32,32x32,1,4,4,102400,34816,lookup,24,64,2,0,0,0,True,0,baseline_mqa_decode,393216,0.7578125,0,int8,8,True,512,online,104448,32768,4,,,score_gemm|softmax_reduce|value_gemm|writeback,,,1104,65536,1062,36,0,67738,2097152,0,0.06274174023443267
32768.0,32,32,32x32,1,4,4,133120,2048,lookup,24,64,2,16384,131072,131072,True,0,kv_stationary_mqa_decode,393216,0.80625,34,int8,8,True,512,online,1218560,1216512,5,3168,4099,kv_preload|query_stream|online_softmax_accum|final_normalize|writeback,1114112,132288,,,,36,32,1253703,2097152,32,0.9999721824068379
0.0,8,8,8x8,1,4,8,139264,69632,lookup,25,64,2,0,0,0,True,0,baseline_mqa_decode,98304,0.78125,0,int8,8,True,512,online,143360,65536,4,,,score_gemm|softmax_reduce|value_gemm|writeback,,,38400,131072,37056,192,0,206720,4194304,0,0.4452012383900929
16384.0,8,8,8x8,1,4,8,135168,4096,lookup,25,64,2,16384,131072,131072,True,0,kv_stationary_mqa_decode,98304,0.825,16,int8,8,True,512,online,2306048,2301952,5,5184,16387,kv_preload|query_stream|online_softmax_accum|final_normalize|writeback,2228224,263424,,,,192,64,2513411,4194304,64,0.9999331585641982
0.0,16,16,16x16,1,4,8,139264,69632,lookup,26,64,2,0,0,0,True,0,baseline_mqa_decode,196608,0.765625,0,int8,8,True,512,online,143360,65536,4,,,score_gemm|softmax_reduce|value_gemm|writeback,,,9088,131072,8752,96,0,149008,4194304,0,0.17534629013207345
16384.0,16,16,16x16,1,4,8,135168,4096,lookup,26,64,2,16384,131072,131072,True,0,kv_stationary_mqa_decode,196608,0.8125,20,int8,8,True,512,online,2306048,2301952,5,5440,8195,kv_preload|query_stream|online_softmax_accum|final_normalize|writeback,2228224,263680,,,,96,64,2505635,4194304,64,0.9999640809615128
0.0,32,32,32x32,1,4,8,139264,69632,lookup,27,64,2,0,0,0,True,0,baseline_mqa_decode,393216,0.7578125,0,int8,8,True,512,online,143360,65536,4,,,score_gemm|softmax_reduce|value_gemm|writeback,,,2208,131072,2124,72,0,135476,4194304,0,0.06274174023443267
16384.0,32,32,32x32,1,4,8,135168,4096,lookup,27,64,2,16384,131072,131072,True,0,kv_stationary_mqa_decode,393216,0.80625,34,int8,8,True,512,online,2306048,2301952,5,6336,4099,kv_preload|query_stream|online_softmax_accum|final_normalize|writeback,2228224,264576,,,,72,64,2503307,4194304,64,0.9999721368573651
0.0,8,8,8x8,1,4,1,148480,16896,lookup,28,64,2,0,0,0,True,0,baseline_mqa_decode,98304,0.78125,0,int8,8,True,1024,online,148992,16384,4,,,score_gemm|softmax_reduce|value_gemm|writeback,,,9600,32768,9240,24,0,51632,1048576,0,0.44468546637744033
262144.0,8,8,8x8,1,4,1,262656,512,lookup,28,64,2,32768,262144,262144,True,0,kv_stationary_mqa_decode,98304,0.825,16,int8,8,True,1024,online,804352,803840,5,648,32771,kv_preload|query_stream|online_softmax_accum|final_normalize|writeback,557056,65696,,,,24,8,656195,1048576,8,0.9999679973178704
0.0,16,16,16x16,1,4,1,148480,16896,lookup,29,64,2,0,0,0,True,0,baseline_mqa_decode,196608,0.3828125,0,int8,8,True,1024,online,148992,16384,4,,,score_gemm|softmax_reduce|value_gemm|writeback,,,4544,32768,4364,16,0,41692,1048576,0,0.13158399692986664
262144.0,16,16,16x16,1,4,1,262656,512,lookup,29,64,2,32768,262144,262144,True,0,kv_stationary_mqa_decode,196608,0.50625,20,int8,8,True,1024,online,804352,803840,5,680,16387,kv_preload|query_stream|online_softmax_accum|final_normalize|writeback,557056,65728,,,,16,8,639867,1048576,8,0.512793283604249
0.0,32,32,32x32,1,4,1,148480,16896,lookup,30,64,2,0,0,0,True,0,baseline_mqa_decode,393216,0.189453125,0,int8,8,True,1024,online,148992,16384,4,,,score_gemm|softmax_reduce|value_gemm|writeback,,,2208,32768,2118,12,0,37106,1048576,0,0.03612623295423921
262144.0,32,32,32x32,1,4,1,262656,512,lookup,30,64,2,32768,262144,262144,True,0,kv_stationary_mqa_decode,393216,0.3515625,34,int8,8,True,1024,online,804352,803840,5,792,8195,kv_preload|query_stream|online_softmax_accum|final_normalize|writeback,557056,65840,,,,12,8,631895,1048576,8,0.25972209583870737
0.0,8,8,8x8,1,4,4,200704,67584,lookup,31,64,2,0,0,0,True,0,baseline_mqa_decode,98304,0.78125,0,int8,8,True,1024,online,202752,65536,4,,,score_gemm|softmax_reduce|value_gemm|writeback,,,38400,131072,36960,96,0,206528,4194304,0,0.44468546637744033
65536.0,8,8,8x8,1,4,4,264192,2048,lookup,31,64,2,32768,262144,262144,True,0,kv_stationary_mqa_decode,98304,0.825,16,int8,8,True,1024,online,2430976,2428928,5,2592,32771,kv_preload|query_stream|online_softmax_accum|final_normalize|writeback,2228224,262784,,,,96,32,2526467,4194304,32,0.9999667519900319
0.0,16,16,16x16,1,4,4,200704,67584,lookup,32,64,2,0,0,0,True,0,baseline_mqa_decode,196608,0.765625,0,int8,8,True,1024,online,202752,65536,4,,,score_gemm|softmax_reduce|value_gemm|writeback,,,9088,131072,8728,48,0,148936,4194304,0,0.17494762851157544
65536.0,16,16,16x16,1,4,4,264192,2048,lookup,32,64,2,32768,262144,262144,True,0,kv_stationary_mqa_decode,196608,0.8125,20,int8,8,True,1024,online,2430976,2428928,5,2720,16387,kv_preload|query_stream|online_softmax_accum|final_normalize|writeback,2228224,262912,,,,48,32,2510291,4194304,32,0.9999820737914449
0.0,32,32,32x32,1,4,4,200704,67584,lookup,33,64,2,0,0,0,True,0,baseline_mqa_decode,393216,0.7578125,0,int8,8,True,1024,online,202752,65536,4,,,score_gemm|softmax_reduce|value_gemm|writeback,,,2208,131072,2118,36,0,135434,4194304,0,0.06245108318442932
65536.0,32,32,32x32,1,4,4,264192,2048,lookup,33,64,2,32768,262144,262144,True,0,kv_stationary_mqa_decode,393216,0.80625,34,int8,8,True,1024,online,2430976,2428928,5,3168,8195,kv_preload|query_stream|online_softmax_accum|final_normalize|writeback,2228224,263360,,,,36,32,2502983,4194304,32,0.9999860666253026
0.0,8,8,8x8,1,4,8,270336,135168,lookup,34,64,2,0,0,0,True,0,baseline_mqa_decode,98304,0.78125,0,int8,8,True,1024,online,274432,131072,4,,,score_gemm|softmax_reduce|value_gemm|writeback,,,76800,262144,73920,192,0,413056,8388608,0,0.44468546637744033
32768.0,8,8,8x8,1,4,8,266240,4096,lookup,34,64,2,32768,262144,262144,True,0,kv_stationary_mqa_decode,98304,0.825,16,int8,8,True,1024,online,4599808,4595712,5,5184,32771,kv_preload|query_stream|online_softmax_accum|final_normalize|writeback,4456448,525568,,,,192,64,5020163,8388608,64,0.999966534951156
0.0,16,16,16x16,1,4,8,270336,135168,lookup,35,64,2,0,0,0,True,0,baseline_mqa_decode,196608,0.765625,0,int8,8,True,1024,online,274432,131072,4,,,score_gemm|softmax_reduce|value_gemm|writeback,,,18176,262144,17456,96,0,297872,8388608,0,0.17494762851157544
32768.0,16,16,16x16,1,4,8,266240,4096,lookup,35,64,2,32768,262144,262144,True,0,kv_stationary_mqa_decode,196608,0.8125,20,int8,8,True,1024,online,4599808,4595712,5,5440,16387,kv_preload|query_stream|online_softmax_accum|final_normalize|writeback,4456448,525824,,,,96,64,5004195,8388608,64,0.99998201508934
0.0,32,32,32x32,1,4,8,270336,135168,lookup,36,64,2,0,0,0,True,0,baseline_mqa_decode,393216,0.7578125,0,int8,8,True,1024,online,274432,131072,4,,,score_gemm|softmax_reduce|value_gemm|writeback,,,4416,262144,4236,72,0,270868,8388608,0,0.06245108318442932
32768.0,32,32,32x32,1,4,8,266240,4096,lookup,36,64,2,32768,262144,262144,True,0,kv_stationary_mqa_decode,393216,0.80625,34,int8,8,True,1024,online,4599808,4595712,5,6336,8195,kv_preload|query_stream|online_softmax_accum|final_normalize|writeback,4456448,526720,,,,72,64,4997771,8388608,64,0.9999860437783163
